Y,X,Sampling year,Reference,Study,Time,PO4 mg/l,PO4_sd,NO2 mg/l,NO2_sd,COD mg/l,COD_sd,BOD mg/l,BOD_sd,DO mg/l,DO_sd,pH,pH_sd,TDS mg/l,TDS_sd,Temp,Temp_sd,TKN,TKN_sd,NO3-N,NO3_sd,EC,EC_sd,NO3 mg/l,Na mg/l,K mg/l,Ca mg/l,Mg mg/l,HCO3 mg/l,Cl mg/l,SO4 mg/l,SiO2 mg/l,Cr µg/l,Cr_sd,Mn  µg/l,Mn_sd,Ni  µg/l,Ni_sd,Zn µg/l,Zn_sd,As µg/l,Pb  µg/l,Pb_sd,Cd  µg/l,Cd_sd,Co  µg/l,Co_sd,Cu  µg/l,Cu_sd,NH3 mg/l,Cd mg/kg,Cd_sd mg/kg,Cr mg/kg,Cr_sd mg/kg,Cu mg/kg,Cu_sd mg/kg,Fe mg/kg,Fe_sd mg/kg,Pb mg/kg,Pb_mg/kg,Mn mg/kg,Mn_sd mg/kg,Ni mg/kg,Ni_sd mg/kg,Zn mg/kg,Zn_sd mg/kg
38.7570382,8.9301588,2002,Me_22,Mekalu2007,November 2002 to January 2003,,,,,239,,89,,0.6,,7.6,,577,,21.8,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.727879,8.8509915,2002,Me_23,Mekalu2007,November 2002 to January 2003,,,,,121,,31,,0.4,,7.8,,488,,20.9,,,,,,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6797041,9.0586852,2003,Me_02,Mekalu2007,November 2003 to January 2004,,,,,17,,7.6,,5.2,,8.6,,104,,18.9,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6802685,9.0577578,2003,Me_03,Mekalu2007,November 2003 to January 2004,,,,,28,,11,,4.8,,8.6,,71,,18.5,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6800805,9.0593971,2003,Me_04,Mekalu2007,November 2003 to January 2004,,0.06,_,,4,,_,,4.8,,8.6,,73,,18.5,,,,,,147,,2.64,,,22,3.4,87,4.5,10.2,,,,,S4,,,,,,,,,,,,,,_,,,,,,,,,,,,,,,,
38.6868011,9.0510909,2003,Me_05,Mekalu2007,November 2003 to January 2004,,0.05,_,,8,,_,,5.1,,7.9,,85,,14,,,,,,170,,1.85,,,19,7.3,87.8,19.5,4.9,,,,,S5,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,
38.6890136,9.0503503,2003,Me_06,Mekalu2007,November 2003 to January 2004,,0.04,0.12,,27,,11,,1.2,,7.8,,200,,15.2,,,,,,390,,4.29,,,45,16,198,22,_,,,,,S6,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
38.6887415,9.0482813,2003,Me_07,Mekalu2007,November 2003 to January 2004,,0.85,_,,426,,137,,1.3,,7.8,,396,,16.6,,,,,,785,,_,,,38,8.3,199,88,65.4,,,,,S7,,,,,,,,,,,,,,20.8,,,,,,,,,,,,,,,,
38.6888354,9.0473628,2003,Me_08,Mekalu2007,November 2003 to January 2004,,0.67,_,,280,,85,,0.8,,7.9,,492,,16.5,,,,,,970,,_,,,32,11.7,185,108,65.7,,,,,S8,,,,,,,,,,,,,,20.6,,,,,,,,,,,,,,,,
38.6946887,9.0424699,2003,Me_09,Mekalu2007,November 2003 to January 2004,,0.18,_,,130,,42,,1.5,,7.6,,626,,18.8,,,,,,1225,,_,,,40,14.6,212,129,37.2,,,,,S9,,,,,,,,,,,,,,17.9,,,,,,,,,,,,,,,,
38.7005889,9.0212564,2003,Me_10,Mekalu2007,November 2003 to January 2004,,0.1,0.42,,13,,5,,5.2,,8.1,,161,,12.4,,,,,,318,,5.83,,,37,11.2,154,21.5,_,,,,,S10,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
38.7012999,9.0202979,2003,Me_11,Mekalu2007,November 2003 to January 2004,,0.14,1.06,,60,,18,,2.4,,7.9,,569,,14.1,,,,,,1143,,9.24,,,48,15.6,198,189,70.8,,,,,S11,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,
38.708388,9.0198847,2003,Me_12,Mekalu2007,November 2003 to January 2004,,4.95,0.15,,69,,22,,1.1,,8,,443,,13.7,,,,,,882,,_,,,63,20.9,381,85,_,,,,,S12,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,
38.7098898,9.0186921,2003,Me_13,Mekalu2007,November 2003 to January 2004,,1.52,1.03,,66,,22,,1.6,,8.2,,533,,14.2,,,,,,1055,,5.86,,,54,16,234,193,56.7,,,,,S13,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,
38.7115467,9.0063507,2003,Me_14,Mekalu2007,November 2003 to January 2004,,1.8,0.3,,37,,13,,3.1,,7.9,,497,,14.1,,,,,,994,,1.72,,,50,17,251,154,63.1,,,,,S14,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,
38.7099676,8.9874189,2003,Me_15,Mekalu2007,November 2003 to January 2004,,1.72,1.22,,52,,16,,2.3,,7.4,,443,,14.5,,,,,,883,,5.72,,,58,16.5,234,156,60.6,,,,,S15,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,
38.7293476,8.966965,2003,Me_16,Mekalu2007,November 2003 to January 2004,,14.8,_,,314,,97,,2.7,,8.3,,479,,13.8,,,,,,938,,_,,,58,28.2,429,159,15.1,,,,,S16,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
38.7337033,8.9711014,2003,Me_17,Mekalu2007,November 2003 to January 2004,,5.21,_,,352,,113,,1.4,,7.9,,454,,14.4,,,,,,876,,_,,,64,23.8,332,138,39.1,,,,,S17,,,,,,,,,,,,,,25.1,,,,,,,,,,,,,,,,
38.7447411,8.9606987,2003,Me_18,Mekalu2007,November 2003 to January 2004,,6.05,_,,85,,33,,1.1,,7.6,,439,,16.9,,,,,,873,,_,,,64,31.6,386,125,33.4,,,,,S18,,,,,,,,,,,,,,30.4,,,,,,,,,,,,,,,,
38.7491528,8.957655,2003,Me_19,Mekalu2007,November 2003 to January 2004,,8.62,_,,90,,33,,1.2,,7.8,,426,,17.4,,,,,,849,,_,,,64,36,395,112,28.8,,,,,S19,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
38.7595297,8.9496174,2003,Me_20,Mekalu2007,November 2003 to January 2004,,7.32,_,,237,,77,,2.9,,7.9,,459,,16.7,,,,,,915,,_,,,65,26.3,412,115,27.8,,,,,S20,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,
38.759607,8.9475571,2003,Me_21,Mekalu2007,November 2003 to January 2004,,6.45,_,,239,,77,,4.2,,8,,467,,16.9,,,,,,931,,_,,,64,23.3,417,121,25.2,,,,,S21,,,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,
38.7570382,8.9301588,2003,Me_22,Mekalu2007,November 2003 to January 2004,,9.63,_,,158,,44,,0.01,,7.8,,639,,21.7,,,,,,1269,,_,,,67,19,437,91,22.9,,,,,S22,,,,,,,,,,,,,,34.9,,,,,,,,,,,,,,,,
38.727879,8.8509915,2003,Me_23,Mekalu2007,November 2003 to January 2004,,8.77,_,,128,,43,,0.01,,8,,559,,22.1,,,,,,1116,,_,,,61,17.5,407,87.5,23.3,,,,,S23,,,,,,,,,,,,,,25.5,,,,,,,,,,,,,,,,
38.7391073,8.9593128,2016,Ka_05,Kassegne2018,Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0.16,26.9,1.24,15.2,0.09,579.3,1.19,170.8,5.04,669.6,3.66,26.2,1.18,59.4,0.25
38.74071695,8.866563931,2016,Ka_06,Kassegne2018,Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.17,43.7,1.66,2.2,0.03,539.1,2.57,256.4,7.33,1319.2,10.51,36.2,1.37,5.2,0.04
38.7391073,8.9593128,2016,Ka_05,Kassegne2018,Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.15,22.6,0.91,5.3,0.01,415.2,3.35,125.9,2.96,385.1,2.84,19.9,1.84,20.1,0.09
38.74071695,8.866563931,2016,Ka_06,Kassegne2018,Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.14,22.8,1.38,6.2,0.03,442.5,3.12,133.7,0.17,422.5,1.58,19.9,1.54,31.1,0.05
